Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Bromley - Darwin,00AFGQ,E05000117,5300,18.4,24.2,181,11.4,15.4
Bromley - Farnborough and Crofton,00AFGR,E05000118,14850,17.3,24.2,2121.4,4.4,15.1
Bromley - Hayes and Coney Hall,00AFGS,E05000119,16250,18.5,19.5,1500,7.4,12
Bromley - Kelsey and Eden Park,00AFGT,E05000120,16250,18.6,18.4,3105.8,7.1,15.2
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,10300,23.1,14.4,4250,11.1,22.7
Bromley - Orpington,00AFGW,E05000122,15650,18.5,22,3616.3,9.2,19.5
Bromley - Penge and Cator,00AFGX,E05000123,17900,21.9,10.5,5883.3,10.4,25.2
Bromley - Petts Wood and Knoll,00AFGY,E05000124,13950,18.3,22.7,3220.9,6.1,9.5
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,15600,20.9,15.3,3850,9.2,14.9
Bromley - Shortlands,00AFHA,E05000126,10150,17.7,21.6,4020,3.9,11.7
Bromley - West Wickham,00AFHB,E05000127,15250,17.1,21,3443.2,6.8,12
Camden - Belsize,00AGGD,E05000128,12800,18,13,15937.5,10.9,18.7
Camden - Bloomsbury,00AGGE,E05000129,11700,6.5,9.6,11650,12,28.3
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,13100,14.6,12.5,10791.7,11.6,16.6
Camden - Cantelowes,00AGGG,E05000131,12450,14.8,9.5,15375,9,20.3
Camden - Fortune Green,00AGGH,E05000132,12100,15.2,10.6,12000,3.5,20.6
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,12250,16.3,14.3,8133.3,n/a,n/a
Camden - Gospel Oak,00AGGK,E05000134,11500,18.4,12.6,16357.1,10.7,23.4
Camden - Hampstead Town,00AGGL,E05000135,11400,17.3,16.5,4540,n/a,n/a
Camden - Haverstock,00AGGM,E05000136,12750,18.7,11.4,18000,12,25.9
Camden - Highgate,00AGGN,E05000137,11150,16.4,16.3,3484.4,5.3,13.5
Camden - Holborn and Covent Garden,00AGGP,E05000138,13700,12.7,10.3,11250,9,25.5
Camden - Kentish Town,00AGGQ,E05000139,13850,15.4,9.6,13750,6.5,19.3
Camden - Kilburn,00AGGR,E05000140,12350,17.7,11.6,17500,13.4,22.1
Camden - King's Cross,00AGGS,E05000141,12550,12.8,7.5,20833.3,10.9,21.2
Camden - Regent's Park,00AGGT,E05000142,14700,14.8,9.2,10961.5,12.6,26.1
Camden - St. Pancras and Somers Town,00AGGU,E05000143,16200,17.7,8.3,10785.7,12.3,24.5
Camden - Swiss Cottage,00AGGW,E05000144,13200,16.8,11.8,10076.9,13.8,22.2
Camden - West Hampstead,00AGGX,E05000145,12550,13.1,9.2,13722.2,6.1,16
Croydon - Addiscombe,00AHGE,E05000146,17750,19.9,9.8,10843.8,10.3,21.6
Croydon - Ashburton,00AHGF,E05000147,15150,19.5,14.6,5555.6,11.5,23.2
Croydon - Bensham Manor,00AHGG,E05000148,16600,24.1,10.3,11750,13.2,24.4
Croydon - Broad Green,00AHGH,E05000149,20050,26.4,7.5,7185.2,11.5,25.5
Croydon - Coulsdon East,00AHGJ,E05000150,12700,18.4,21.7,1629.9,9.4,17.4
Croydon - Coulsdon West,00AHGK,E05000151,14150,18.4,16.4,2770,9.6,19.7
Croydon - Croham,00AHGL,E05000152,16200,20.2,12.6,4614.3,8.9,19.1
Croydon - Fairfield,00AHGM,E05000153,21750,19.2,10.3,5065.8,10.2,24.8
Croydon - Fieldway,00AHGN,E05000154,11850,29.6,10.2,7800,13.9,24.6
Croydon - Heathfield,00AHGP,E05000155,13600,18.2,18.2,1551.7,10.6,17.8
Croydon - Kenley,00AHGQ,E05000156,15650,20.9,15.8,2369.2,4.5,14.7
Croydon - New Addington,00AHGR,E05000157,11250,24.6,13.1,4604.2,11.3,27.8
Croydon - Norbury,00AHGS,E05000158,17100,20.8,13.5,6740,11.2,23.5
Croydon - Purley,00AHGT,E05000159,15550,19.7,15.7,3607.1,8.1,16.9
Croydon - Sanderstead,00AHGU,E05000160,13200,17,20.9,2071.4,7.7,12.5
Croydon - Selhurst,00AHGW,E05000161,18550,26.2,9.2,7978.3,14.6,27
Croydon - Selsdon and Ballards,00AHGX,E05000162,12200,13.8,22.4,1882.8,8.8,15.4
Croydon - Shirley,00AHGY,E05000163,14700,19.7,18.4,5214.3,9.1,20
Croydon - South Norwood,00AHGZ,E05000164,16900,22.2,10.3,6979.2,11.6,23.4
Croydon - Thornton Heath,00AHHA,E05000165,16900,25.4,9.5,9852.9,13.8,26.7
Croydon - Upper Norwood,00AHHB,E05000166,16600,20.8,11.8,6307.7,10.5,23.7
Croydon - Waddon,00AHHC,E05000167,17650,23.4,10.5,4847.2,11.1,19.9
Croydon - West Thornton,00AHHD,E05000168,18000,25.4,9.8,8925,12.6,24.8
Croydon - Woodside,00AHHE,E05000169,17100,24.7,8.7,7727.3,11.6,23.6
Ealing - Acton Central,00AJGC,E05000170,15850,20,10.2,8750,11.1,19.4
Ealing - Cleveland,00AJGD,E05000171,14850,21.7,12.7,6750,10,19.2
Ealing - Dormers Wells,00AJGE,E05000172,14150,22.4,12.3,6152.2,14,23.4
Ealing - Ealing Broadway,00AJGF,E05000173,15550,14.6,12,7868.4,6.2,15.1
Ealing - Ealing Common,00AJGG,E05000174,14200,15.7,12,6809.5,9.9,21
Ealing - East Acton,00AJGH,E05000175,19800,19.8,8.5,4523.3,11.1,26.1
Ealing - Elthorne,00AJGJ,E05000176,15100,21,10.5,7450,11,22.6
Ealing - Greenford Broadway,00AJGK,E05000177,17750,24.7,11.5,7120,13.7,23.6
Ealing - Greenford Green,00AJGL,E05000178,14500,21.2,12.6,4264.7,9.1,24.5
Ealing - Hanger Hill,00AJGM,E05000179,15750,19.1,14,4787.9,7.1,18.4
Ealing - Hobbayne,00AJGN,E05000180,14300,22.5,12.1,6522.7,11.4,18.6
Ealing - Lady Margaret,00AJGP,E05000181,14100,19.7,12.2,9433.3,12.9,23.6
Ealing - Northfield,00AJGQ,E05000182,13700,19.6,11.7,9133.3,5.3,13.1
Ealing - North Greenford,00AJGR,E05000183,14900,20.5,12.9,4656.3,8.8,24.8
Ealing - Northolt Mandeville,00AJGS,E05000184,15350,23.4,12.1,5482.1,12.1,24.9
Ealing - Northolt West End,00AJGT,E05000185,15200,26,10.2,4371.4,14.1,21.9
Ealing - Norwood Green,00AJGU,E05000186,14200,20.8,11.4,3750,12.3,23.1
Ealing - Perivale,00AJGW,E05000187,15450,20.6,12.5,4573.5,11.6,24.4
Ealing - South Acton,00AJGX,E05000188,16200,20.6,10.8,9205.9,11.6,26.9
Ealing - Southall Broadway,00AJGY,E05000189,16200,22.7,10,9343.8,14.8,23.3
Ealing - Southall Green,00AJGZ,E05000190,15200,23.8,8.9,9406.3,14.3,24.7
Ealing - Southfield,00AJHA,E05000191,13600,18.6,11.5,9714.3,7.4,18
Ealing - Walpole,00AJHB,E05000192,13500,19.1,11.5,9033.3,7.8,18.5
Enfield - Bowes,00AKGL,E05000193,14550,18.2,11.3,9733.3,9.3,21.1
Enfield - Bush Hill Park,00AKGM,E05000194,14150,17.6,18.4,5720,10.8,22.4
Enfield - Chase,00AKGN,E05000195,14000,22.3,13.9,834.3,12,24.4
Enfield - Cockfosters,00AKGP,E05000196,14100,16.1,19.4,1370.2,9,20.6
Enfield - Edmonton Green,00AKGQ,E05000197,18350,27.1,8.8,5951.6,17.6,30.1
Enfield - Enfield Highway,00AKGR,E05000198,16350,24.9,10.9,3576.1,14.1,27
Enfield - Enfield Lock,00AKGS,E05000199,17000,26.4,8.3,5166.7,16.3,26.7
Enfield - Grange,00AKGT,E05000200,13300,17.3,19.6,4015.2,8.6,11.7
Enfield - Haselbury,00AKGU,E05000201,16500,24.5,10.2,9277.8,14.5,26.9
Enfield - Highlands,00AKGW,E05000202,13550,16.4,19.3,2647.1,8.9,19.4
Enfield - Jubilee,00AKGX,E05000203,14600,24.1,11.9,3782.1,12.8,24.3
Enfield - Lower Edmonton,00AKGY,E05000204,16700,28,10.2,7681.8,13.2,27.6
Enfield - Palmers Green,00AKGZ,E05000205,15650,18.5,14.2,8263.2,11,22.5
